name, sales ,date
Glayds Brunt," 844,623 ",28/2/2020
Rubi Perro," 1,315,148 ",28/2/2020
Valentine Switzer," 492,066 ",28/2/2020
Johanna Hilbert," 1,460,166 ",28/2/2020
Lizzie Haggins," 228,199 ",28/2/2020
Clayton Chapel," 10,647 ",28/2/2020
Lilia Despres," 67,926 ",29/2/2020
Danyel Ervin," 155,235 ",29/2/2020
Luvenia Alday," 809,897 ",29/2/2020
Bryon Smail," 714,477 ",29/2/2020
Anastacia Groseclose," 1,124,006 ",29/2/2020
Lanell Rodgers," 1,111,006 ",29/2/2020
Dori Gamble," 1,094,968 ",29/2/2020
Larraine Gobeil," 1,420,152 ",29/2/2020
Victor Roselli," 790,052 ",29/2/2020
Ozie Simerly," 1,122,903 ",29/2/2020
Brandi Organ," 1,232,557 ",29/2/2020
Ruthe Cockrum," 358,305 ",29/2/2020
Dominque Carney," 31,106 ",29/2/2020
Sydney Baskerville," 431,732 ",29/2/2020
Ashton Lacombe," 1,181,299 ",29/2/2020
Audria Irizarry," 949,892 ",29/2/2020
Leland Kubota," 1,484,174 ",29/2/2020
Rikki Iverson," 696,480 ",29/2/2020
Hoyt Saner," 177,549 ",29/2/2020
Betsy Meserve," 760,114 ",29/2/2020
Anderson Mcray," 666,980 ",29/2/2020
Anderson Ojeda," 294,815 ",29/2/2020
Denice Bustamante," 60,396 ",29/2/2020
Phyliss Foxwell," 988,655 ",29/2/2020
Kami Storms," 1,426,651 ",29/2/2020
Krystal Molinari," 1,267,315 ",29/2/2020
Kallie Penrod," 104,738 ",29/2/2020
Divina Nix," 749,971 ",29/2/2020
Roy Dejong," 1,408,887 ",29/2/2020
Korey Mickelsen," 428,505 ",29/2/2020
Belen Ruggiero," 442,889 ",29/2/2020
Hildegarde Rench," 886,446 ",29/2/2020
Esmeralda Freeborn," 971,940 ",29/2/2020
Luise Current," 200,949 ",29/2/2020
Natalie Karlin," 1,244,871 ",29/2/2020
Kia Ureno," 747,252 ",29/2/2020
Leonore Degreenia," 243,985 ",29/2/2020
Cindi Gibbon," 688,497 ",29/2/2020
Lakeesha Ruis," 790,100 ",29/2/2020
Collin Millsap," 1,184,476 ",29/2/2020
Hosea Cybart," 906,769 ",29/2/2020
Ernesto Cullison," 26,757 ",1/3/2020
Buford Truss," 959,939 ",1/3/2020
Hyacinth Guiney," 75,121 ",1/3/2020
Millicent Beamon," 129,142 ",1/3/2020
Tanja Inks," 130,566 ",1/3/2020
Joey Guerra," 778,810 ",1/3/2020
Sydney Baskerville," 706,422 ",1/3/2020
Lanelle Haygood," 344,483 ",1/3/2020
Dave Dressler," 476,070 ",1/3/2020
Chet Pitts," 976,239 ",1/3/2020
Tam Pollman," 1,259,278 ",1/3/2020
Ronni Alberson," 1,461,222 ",1/3/2020
Elbert Setliff," 233,615 ",1/3/2020
Odessa Meaney," 1,142,012 ",1/3/2020
Shayla Jacobi," 1,441,803 ",1/3/2020
Felicitas Pine," 1,367,255 ",1/3/2020
Breanne Prentiss," 113,732 ",1/3/2020
Guadalupe Marone," 310,252 ",1/3/2020
Lillian Mumford," 687,721 ",1/3/2020
Tressie Morphis," 1,210,317 ",1/3/2020
Elbert Setliff," 735,637 ",1/3/2020
Ardis Wille," 690,389 ",1/3/2020
Collin Millsap," 1,361,826 ",1/3/2020
Ervin Scalia," 1,446,169 ",1/3/2020
Lela Anding," 1,208,399 ",1/3/2020
Kia Ureno," 937,791 ",1/3/2020
Buster Keppler," 394,958 ",1/3/2020
Gita Westberg," 905,180 ",1/3/2020
Roxie Broady," 1,338,277 ",1/3/2020
Bambi Wynne," 1,188,001 ",1/3/2020
Lillian Mumford," 993,442 ",1/3/2020
Myrtle Cossey," 428,242 ",1/3/2020
Donnie Mccrystal," 1,338,297 ",1/3/2020
Victor Roselli," 234,133 ",1/3/2020
Palma Strasser," 774,652 ",1/3/2020
Gilberto Spicer," 791,750 ",1/3/2020
Ana Ericson," 190,495 ",1/3/2020
Georgianna Calloway," 616,547 ",1/3/2020
Paige Bain," 1,424,098 ",1/3/2020
Hugo Nardone," 251,675 ",1/3/2020
Lanell Rodgers," 341,675 ",1/3/2020
Glayds Brunt," 1,359,764 ",1/3/2020
Tilda Alarcon," 710,813 ",1/3/2020
Clementina Olds," 930,038 ",1/3/2020
Winnifred Strebel," 1,185,241 ",1/3/2020
Chastity Immel," 1,044,063 ",1/3/2020
Mabelle Lafleur," 946,483 ",1/3/2020
Lela Anding," 1,199,189 ",1/3/2020
Alda Marciniak," 1,111,541 ",1/3/2020
Aundrea Bakker," 140,551 ",1/3/2020
Krystal Molinari," 770,647 ",1/3/2020
Zola Gaus," 884,129 ",1/3/2020
Valentine Switzer," 1,005,329 ",1/3/2020
Alda Marciniak," 1,251,309 ",1/3/2020
Lavette Duggan," 957,820 ",1/3/2020
Cassey Brewster," 789,785 ",1/3/2020
Madalyn Unsworth," 93,565 ",1/3/2020
Layla Brothers," 971,269 ",1/3/2020
Tonja Pierpont," 81,479 ",1/3/2020
Lorri Trevizo," 733,344 ",1/3/2020
Ivana Murnane," 23,967 ",2/3/2020
Silva Plumb," 141,711 ",2/3/2020
Sarai Yoo," 57,475 ",2/3/2020
Lynetta Lupi," 245,133 ",2/3/2020
Lilia Despres," 282,371 ",2/3/2020
Jane Carlton," 961,327 ",2/3/2020
Roxanna Cheyne," 1,119,087 ",2/3/2020
Grover Ritchey," 253,033 ",2/3/2020
Alda Marciniak," 741,228 ",2/3/2020
Ayako Frick," 1,070,219 ",2/3/2020
Alejandrina Mandelbaum," 1,495,776 ",2/3/2020
Chet Pitts," 232,998 ",2/3/2020
Chet Pitts," 1,475,305 ",2/3/2020
Joanie Huckins," 121,213 ",2/3/2020
Danette Dolce," 991,938 ",2/3/2020
Lyman Mcgarry," 249,155 ",2/3/2020
Latina Terry," 1,036,631 ",2/3/2020
Rosario Rizzo," 968,873 ",2/3/2020
Dominque Carney," 1,044,525 ",2/3/2020
Calandra Brickner," 812,947 ",2/3/2020
Samatha Lair," 704,505 ",2/3/2020
Wendell Ginsburg," 1,234,820 ",2/3/2020
Eunice Barriere," 299,190 ",2/3/2020
Shira Lemelin," 1,005,786 ",2/3/2020
Belen Ruggiero," 659,668 ",2/3/2020
Zoraida Gertner," 1,188,921 ",2/3/2020
Marisela Illingworth," 1,254,133 ",2/3/2020
Dell Luckett," 1,256,017 ",2/3/2020
Marica Chavous," 1,319,527 ",2/3/2020
Renate Ruddick," 760,240 ",2/3/2020
Williams Leno," 586,190 ",2/3/2020
Oren Blye," 947,715 ",2/3/2020
Harland Greenspan," 923,948 ",2/3/2020
Allyson Ancheta," 1,069,276 ",2/3/2020
Krishna Shimp," 704,453 ",2/3/2020
Krishna Shimp," 1,191,330 ",2/3/2020
Ivana Murnane," 423,952 ",2/3/2020
Lulu Mannino," 727,421 ",2/3/2020
Rosette Custer," 729,109 ",3/3/2020
Karlene Tuff," 684,063 ",3/3/2020
Glady Sugarman," 987,378 ",3/3/2020
Arlinda Cogdill," 506,160 ",3/3/2020
Gita Westberg," 847,223 ",3/3/2020
Lizzette Baumer," 1,356,653 ",3/3/2020
Ronni Alberson," 1,106,216 ",3/3/2020
Nisha Bynoe," 1,177,179 ",3/3/2020
Loida Tartaglia," 1,286,484 ",3/3/2020
Pearly Arreguin," 685,586 ",3/3/2020
Izola Adams," 333,920 ",3/3/2020
Brandi Organ," 542,704 ",3/3/2020
Agripina Matteo," 965,056 ",3/3/2020
Eladia Board," 16,392 ",3/3/2020
Olene Reitz," 500,819 ",3/3/2020
Lorri Trevizo," 1,014,149 ",3/3/2020
Glayds Brunt," 1,024,826 ",3/3/2020
Samella Dively," 868,364 ",3/3/2020
Michell Corrigan," 914,786 ",3/3/2020
Myrtle Cossey," 1,361,858 ",3/3/2020
Latina Terry," 427,042 ",3/3/2020
Lillian Mumford," 782,683 ",3/3/2020
Zenaida Israel," 959,810 ",3/3/2020
Ilona Langlois," 822,327 ",3/3/2020
Tomeka Matsuda," 175,790 ",3/3/2020
Alene Swiger," 1,468,236 ",4/3/2020
Stormy Edberg," 35,240 ",4/3/2020
Farah Munsterman," 944,354 ",4/3/2020
Julienne Riesgo," 415,038 ",4/3/2020
Millicent Beamon," 1,004,818 ",4/3/2020
Jerome Leeman," 1,114,202 ",4/3/2020
Lilia Despres," 13,205 ",4/3/2020
Leanna Custis," 1,337,144 ",4/3/2020
Lupita Brittan," 553,956 ",4/3/2020
Elroy Eddings," 111,034 ",4/3/2020
Sean Lamberson," 718,035 ",4/3/2020
Alayna Eisenbarth," 684,401 ",4/3/2020
Roxanna Cheyne," 794,807 ",4/3/2020
Ronni Alberson," 576,474 ",4/3/2020
Charisse Orman," 985,319 ",4/3/2020
Anastacia Groseclose," 396,871 ",4/3/2020
Tyron Brackett," 1,029,040 ",4/3/2020
Harriett Dauenhauer," 262,255 ",4/3/2020
Julio Zemlicka," 25,883 ",4/3/2020
Noe Lamotte," 1,282,839 ",4/3/2020
Tonya Gordan," 842,598 ",4/3/2020
Hildegarde Rench," 1,235,154 ",4/3/2020
Geoffrey Jorstad," 179,604 ",4/3/2020
Odessa Franz," 255,266 ",4/3/2020
Hilaria Ashmore," 400,284 ",4/3/2020
Georgine Aigner," 936,121 ",4/3/2020
Ozie Simerly," 718,368 ",4/3/2020
Leann Bowen," 438,032 ",4/3/2020
Harold Oja," 493,449 ",4/3/2020
Cassey Brewster," 5,580 ",4/3/2020
Rikki Iverson," 838,765 ",4/3/2020
Grover Ritchey," 107,578 ",4/3/2020
Elissa Sitsler," 909,096 ",4/3/2020
Collin Millsap," 160,107 ",4/3/2020
Colby Vereen," 800,456 ",4/3/2020
Bennie Krom," 1,331,003 ",4/3/2020
Bettina Panetta," 631,518 ",4/3/2020
Ervin Scalia," 916,408 ",4/3/2020
Warner Chiarello," 1,313,494 ",5/3/2020
Kallie Penrod," 1,111,957 ",5/3/2020
Gerri Charon," 1,190,141 ",5/3/2020
Danette Dolce," 786,492 ",5/3/2020
Roxanna Cheyne," 585,527 ",5/3/2020
Shawnna Whitley," 1,125,753 ",5/3/2020
Dollie Seymour," 392,953 ",5/3/2020
Neal Oland," 1,224,023 ",5/3/2020
Luigi Bevins," 876,174 ",5/3/2020
Eleanore Schley," 587,338 ",5/3/2020
Emerita Fralick," 771,891 ",5/3/2020
Ana Ericson," 1,041,521 ",5/3/2020
Nickie Shott," 202,124 ",5/3/2020
Denice Bustamante," 1,064,696 ",5/3/2020
Serina Ballantyne," 130,034 ",5/3/2020
Tam Pollman," 245,645 ",5/3/2020
Valentine Switzer," 787,345 ",5/3/2020
Leann Bowen," 1,014,756 ",5/3/2020
Shanice Carrera," 1,433,513 ",5/3/2020
Leila Jansky," 87,342 ",5/3/2020
Joanie Huckins," 1,069,990 ",5/3/2020
Suzi Gao," 773,405 ",5/3/2020
Donnie Mccrystal," 688,092 ",5/3/2020
Lakeesha Ruis," 1,476,682 ",5/3/2020
Lelia Secord," 1,148,831 ",5/3/2020
Ryann Muise," 670,675 ",5/3/2020
Adrianna Sweetland," 1,043,096 ",5/3/2020
Alfonso Bedford," 1,454,424 ",5/3/2020
Charisse Orman," 45,134 ",5/3/2020
Susanna Brandes," 679,102 ",5/3/2020
Lillian Mumford," 566,860 ",5/3/2020
Ilona Langlois," 347,141 ",5/3/2020
Cherri Hayden," 15,410 ",6/3/2020
Victor Roselli," 1,052,647 ",6/3/2020
Lorilee Crosland," 830,264 ",6/3/2020
Sean Lamberson," 1,306,899 ",6/3/2020
Aline Wirth," 1,268,949 ",6/3/2020
Darnell Rich," 1,316,085 ",6/3/2020
Clarice Barrentine," 1,483,253 ",6/3/2020
Octavia Gitlin," 134,450 ",6/3/2020
Ranee Gulino," 1,058,161 ",6/3/2020
Serita Pederson," 79,169 ",6/3/2020
Bennie Frei," 1,067,349 ",6/3/2020
Shae Buggs," 1,122,700 ",6/3/2020
Alison Cordell," 390,451 ",6/3/2020
Guadalupe Marone," 52,257 ",6/3/2020
Young Kensey," 563,659 ",6/3/2020
Ardath Albro," 860,949 ",6/3/2020
Lizzette Baumer," 1,371,160 ",6/3/2020
Sara Dillahunty," 1,322,423 ",6/3/2020
Adeline Mey," 89,675 ",6/3/2020
Phyliss Foxwell," 505,672 ",6/3/2020
Sherrell Blann," 181,317 ",6/3/2020
Neal Oland," 1,117,682 ",6/3/2020
Leland Kubota," 578,096 ",6/3/2020
Giuseppe Deville," 297,776 ",6/3/2020
Shae Buggs," 1,227,643 ",6/3/2020
Tonja Pierpont," 1,374,134 ",6/3/2020
Josiah Motta," 1,087,067 ",6/3/2020
Izola Adams," 1,325,247 ",6/3/2020
Brianne Chaparro," 37,809 ",6/3/2020
Lawana Styers," 1,327,039 ",6/3/2020
Leanna Custis," 991,838 ",6/3/2020
Palma Strasser," 40,389 ",6/3/2020
Korey Mickelsen," 1,126,880 ",6/3/2020
Bettina Panetta," 675,539 ",6/3/2020
Mirtha Shrout," 708,213 ",6/3/2020
Leo Torrain," 1,115,163 ",6/3/2020
Elza Tews," 360,852 ",7/3/2020
Dustin Coyne," 62,639 ",7/3/2020
Zachary Novello," 64,124 ",7/3/2020
Geri Guan," 558,874 ",7/3/2020
Hyacinth Guiney," 1,221,675 ",7/3/2020
Tonya Gordan," 422,497 ",7/3/2020
Lillian Mumford," 332,813 ",7/3/2020
Parker Gebhart," 1,366,859 ",7/3/2020
Allene Hone," 235,239 ",7/3/2020
Lois Meadors," 357,101 ",7/3/2020
Deonna Byham," 1,429,187 ",7/3/2020
Dudley Naab," 1,108,160 ",7/3/2020
Karena Paiva," 571,648 ",7/3/2020
Luise Current," 282,435 ",7/3/2020
Mirtha Shrout," 547,610 ",7/3/2020
Christen Mcchesney," 842,424 ",7/3/2020
Inga Bove," 793,381 ",7/3/2020
Leeanna Link," 1,437,569 ",7/3/2020
Madalyn Unsworth," 1,392,015 ",7/3/2020
Nickole Vieira," 492,082 ",7/3/2020
Les Mcclellan," 776,773 ",7/3/2020
Julie Giesen," 1,260,142 ",7/3/2020
Leeanna Link," 1,360,609 ",7/3/2020
Joelle Feldman," 443,795 ",7/3/2020
Kendal Westerfield," 1,491,549 ",7/3/2020
Kallie Penrod," 465,374 ",7/3/2020
Tonja Pierpont," 146,748 ",7/3/2020
Wendolyn Fessenden," 465,356 ",7/3/2020
Clarice Barrentine," 653,703 ",7/3/2020
Zandra Feather," 1,361,001 ",7/3/2020
Dudley Naab," 218,737 ",8/3/2020
Joelle Feldman," 368,911 ",8/3/2020
Opal Recker," 466,797 ",8/3/2020
Lynetta Lupi," 1,043,589 ",8/3/2020
Fabian Gamez," 683,285 ",8/3/2020
Estella Reinert," 1,268,417 ",8/3/2020
Nerissa Vanatta," 230,663 ",8/3/2020
Geri Guan," 1,276,424 ",8/3/2020
Mirtha Shrout," 1,210,571 ",8/3/2020
Tomeka Matsuda," 1,248,128 ",8/3/2020
Tam Pollman," 841,259 ",8/3/2020
Kacy Warren," 24,926 ",8/3/2020
Lorilee Crosland," 317,539 ",8/3/2020
Hilaria Ashmore," 1,450,272 ",8/3/2020
Carmine Hamburg," 1,418,186 ",8/3/2020
Bennie Krom," 765,277 ",8/3/2020
Rufina Fawcett," 1,282,105 ",8/3/2020
Lady Kron," 835,492 ",8/3/2020
Leila Jansky," 811,392 ",8/3/2020
Sharell Hooten," 1,334,038 ",8/3/2020
Shayla Jacobi," 1,427,017 ",8/3/2020
Bennie Frei," 254,986 ",8/3/2020
Odessa Franz," 1,036,905 ",8/3/2020
Lizzie Haggins," 388,143 ",8/3/2020
Palma Strasser," 292,817 ",8/3/2020
Isiah Delaughter," 452,696 ",8/3/2020
Luise Eccles," 1,388,005 ",8/3/2020
Buford Truss," 632,802 ",8/3/2020
Anderson Ojeda," 434,823 ",8/3/2020
Ayako Frick," 200,780 ",8/3/2020
Cherri Hayden," 359,241 ",8/3/2020
Bettina Panetta," 299,535 ",8/3/2020
Lois Meadors," 100,618 ",8/3/2020
Lanette Buckingham," 1,160,973 ",8/3/2020
Dave Dressler," 661,292 ",9/3/2020
Jestine Flett," 953,924 ",9/3/2020
Dustin Coyne," 151,782 ",9/3/2020
Lucrecia Sutera," 303,991 ",9/3/2020
Shae Buggs," 246,606 ",9/3/2020
Eugena Trojanowski," 432,613 ",9/3/2020
Earnest Carson," 953,312 ",9/3/2020
Aline Wirth," 1,222,610 ",9/3/2020
Julie Giesen," 1,480,067 ",9/3/2020
Renate Ruddick," 1,164,754 ",9/3/2020
Ryann Muise," 730,742 ",9/3/2020
Dudley Naab," 492,550 ",9/3/2020
Tonja Pierpont," 484,070 ",9/3/2020
Roy Dejong," 775,188 ",9/3/2020
Julio Zemlicka," 1,110,822 ",9/3/2020
Serina Ballantyne," 488,971 ",9/3/2020
Aline Wirth," 509,312 ",9/3/2020
Genoveva Even," 1,227,418 ",9/3/2020
Mee Riggleman," 585,077 ",9/3/2020
Rikki Iverson," 1,276,621 ",9/3/2020
Celia Banning," 531,254 ",9/3/2020
Elza Tews," 199,906 ",10/3/2020
Sean Lamberson," 234,062 ",10/3/2020
Criselda Dublin," 1,335,248 ",10/3/2020
Susanna Brandes," 589,068 ",10/3/2020
Shae Buggs," 154,143 ",10/3/2020
Erma Gerken," 1,258,429 ",10/3/2020
Mabelle Lafleur," 49,022 ",10/3/2020
Melody Bouffard," 998,079 ",10/3/2020
Joanie Huckins," 811,447 ",10/3/2020
Clorinda Cayetano," 407,955 ",10/3/2020
Georgianna Calloway," 1,003,835 ",10/3/2020
Vincenzo Cobos," 769,073 ",10/3/2020
Alejandrina Mandelbaum," 1,230,713 ",10/3/2020
Vina Gascon," 325,566 ",10/3/2020
Jacquie Emrich," 142,638 ",10/3/2020
Venetta Schurman," 1,172,676 ",10/3/2020
Neal Oland," 450,375 ",10/3/2020
Kenia Lozoya," 1,475,246 ",10/3/2020
Chase Coolidge," 402,653 ",10/3/2020
Layla Lando," 703,377 ",10/3/2020
Brendan Acton," 307,998 ",10/3/2020
Karena Paiva," 318,285 ",10/3/2020
Jacob Pitcock," 422,850 ",10/3/2020
Felicitas Pine," 1,176,428 ",11/3/2020
Bryon Smail," 331,767 ",11/3/2020
Kenia Lozoya," 198,185 ",11/3/2020
Kathrin Fuller," 1,295,993 ",11/3/2020
Breanne Prentiss," 434,664 ",11/3/2020
Latina Terry," 1,492,298 ",11/3/2020
Sharika Schuler," 763,133 ",11/3/2020
Jerrod Lemonds," 1,216,661 ",11/3/2020
Rima Glaspie," 924,937 ",11/3/2020
Jane Carlton," 377,712 ",11/3/2020
Tamara Marcinek," 610,685 ",11/3/2020
Sara Dillahunty," 258,353 ",11/3/2020
Amy Shockley," 991,280 ",11/3/2020
Asuncion Herbst," 833,066 ",11/3/2020
Agripina Matteo," 695,463 ",11/3/2020
Chastity Brugger," 452,400 ",11/3/2020
Yasmine Costello," 1,489,679 ",11/3/2020
Benedict Blumberg," 855,446 ",11/3/2020
Rikki Iverson," 190,564 ",11/3/2020
Angela Strawbridge," 1,103,749 ",11/3/2020
Emelia Anders," 1,308,646 ",11/3/2020
Dede Shiflett," 1,118,472 ",11/3/2020
Cami Kosinski," 1,464,175 ",11/3/2020
Lanell Rodgers," 1,368,527 ",11/3/2020
Jere Rascoe," 1,355,312 ",11/3/2020
Cori Raub," 1,113,530 ",12/3/2020
Chet Pitts," 422,634 ",12/3/2020
Kit Nogle," 678,446 ",12/3/2020
Patti Boeke," 195,134 ",12/3/2020
Toni Mullen," 474,877 ",12/3/2020
Les Mcclellan," 1,006,160 ",12/3/2020
Aline Wirth," 513,261 ",12/3/2020
Cori Raub," 1,133,630 ",12/3/2020
Margene Collin," 665,043 ",12/3/2020
Paulina Kaufmann," 1,065,353 ",12/3/2020
Roy Dejong," 836,650 ",12/3/2020
Kami Storms," 30,521 ",12/3/2020
Melody Bouffard," 48,498 ",12/3/2020
Alda Marciniak," 1,336,930 ",12/3/2020
Kiersten Mannion," 723,766 ",12/3/2020
Susannah Watkin," 1,222,012 ",12/3/2020
Corinne Wingerter," 711,920 ",12/3/2020
Yuri Beltran," 470,229 ",12/3/2020
Tora Theodore," 1,344,411 ",12/3/2020
Naida Ostby," 480,884 ",12/3/2020
Morgan Caylor," 420,088 ",12/3/2020
Jung Alva," 764,626 ",12/3/2020
Esmeralda Freeborn," 248,179 ",12/3/2020
Loida Tartaglia," 1,210,675 ",12/3/2020
Lyman Mcgarry," 236,802 ",12/3/2020
Bobbye Mccraney," 185,660 ",12/3/2020
Emerita Fralick," 667,437 ",12/3/2020
Giuseppe Deville," 1,265,233 ",13/3/2020
Sean Heckman," 459,636 ",13/3/2020
Taina Keifer," 477,943 ",13/3/2020
Clarice Barrentine," 898,219 ",13/3/2020
Valentine Switzer," 716,330 ",13/3/2020
Cindi Gibbon," 845,411 ",13/3/2020
Mindy Hehn," 327,828 ",13/3/2020
Brianne Chaparro," 653,710 ",13/3/2020
Emelia Anders," 1,051,251 ",13/3/2020
Dewey Zalewski," 1,306,132 ",13/3/2020
Alayna Eisenbarth," 1,121,828 ",13/3/2020
Dudley Naab," 599,209 ",13/3/2020
Wilber Simmer," 1,312,259 ",13/3/2020
Linnea Molton," 914,870 ",13/3/2020
Sharell Hooten," 914,130 ",13/3/2020
Olene Reitz," 1,274,251 ",13/3/2020
Layla Lando," 81,298 ",13/3/2020
Monique Valtierra," 1,115,637 ",13/3/2020
Patti Boeke," 512,981 ",13/3/2020
Titus Burling," 122,653 ",13/3/2020
Cyrstal Dempsey," 1,251,619 ",13/3/2020
Josiah Motta," 1,081,505 ",13/3/2020
Shanta Ramerez," 404,164 ",13/3/2020
Stuart Gabor," 499,263 ",13/3/2020
Audria Irizarry," 1,178,068 ",13/3/2020
Grover Ritchey," 1,053,687 ",13/3/2020
Ronni Alberson," 834,433 ",13/3/2020
Divina Nix," 1,148,287 ",13/3/2020
Brunilda Ehrhardt," 727,956 ",13/3/2020
Kenia Lozoya," 668,288 ",13/3/2020
Juliann Levi," 777,915 ",13/3/2020
Lyman Ravenscroft," 71,707 ",13/3/2020
Bennie Frei," 214,061 ",13/3/2020
Glayds Brunt," 252,809 ",13/3/2020
Dorian Fenstermacher," 191,783 ",13/3/2020
Opal Recker," 986,858 ",13/3/2020
Agripina Matteo," 192,539 ",13/3/2020
Georgiann Matney," 869,978 ",14/3/2020
Johanna Hilbert," 1,034,245 ",14/3/2020
Celeste Pricer," 721,582 ",14/3/2020
Flor Fairchild," 482,884 ",14/3/2020
Bettina Panetta," 1,029,454 ",14/3/2020
Colby Vereen," 338,421 ",14/3/2020
Tonja Pierpont," 623,645 ",14/3/2020
Corinne Wingerter," 695,308 ",14/3/2020
Neal Oland," 699,752 ",14/3/2020
Bettina Panetta," 1,290,459 ",14/3/2020
Thomasina Betances," 890,324 ",14/3/2020
Hosea Cybart," 531,347 ",14/3/2020
Ilona Langlois," 1,004,225 ",14/3/2020
Lyman Mcgarry," 1,304,244 ",14/3/2020
Cherri Hayden," 5,606 ",14/3/2020
Samantha Atilano," 370,565 ",14/3/2020
Wan Chappell," 679,796 ",14/3/2020
Lela Anding," 1,429,950 ",14/3/2020
Larraine Gobeil," 1,252,450 ",14/3/2020
Terina Lopinto," 63,432 ",14/3/2020
Crissy Windsor," 855,032 ",14/3/2020
Adriene Gauldin," 1,361,460 ",14/3/2020
Tilda Alarcon," 791,476 ",14/3/2020
Angelic Flury," 278,872 ",14/3/2020
Morgan Caylor," 1,336,190 ",14/3/2020
Ana Ericson," 47,260 ",14/3/2020
Calandra Brickner," 1,219,666 ",14/3/2020
Emelia Anders," 942,080 ",14/3/2020
Leeanna Link," 737,316 ",14/3/2020
Lorna Kliebert," 1,414,921 ",14/3/2020
Denisha Ogden," 479,149 ",14/3/2020
Lorie Blount," 349,560 ",15/3/2020
Letitia Gan," 59,730 ",15/3/2020
Rikki Iverson," 1,006,346 ",15/3/2020
Lavette Duggan," 579,024 ",15/3/2020
Emelia Anders," 799,558 ",15/3/2020
Hyacinth Guiney," 201,839 ",15/3/2020
Leanna Custis," 1,099,648 ",15/3/2020
Gita Westberg," 1,149,822 ",15/3/2020
Marica Chavous," 1,250,427 ",15/3/2020
Millicent Beamon," 1,463,492 ",15/3/2020
Aundrea Bakker," 961,569 ",15/3/2020
Lynetta Lupi," 537,414 ",15/3/2020
Leila Jansky," 115,814 ",15/3/2020
Monique Valtierra," 853,305 ",15/3/2020
Les Mcclellan," 1,301,205 ",15/3/2020
Karena Paiva," 391,061 ",15/3/2020
Leonore Degreenia," 862,977 ",15/3/2020
Loida Tartaglia," 234,672 ",15/3/2020
Mica Coburn," 47,802 ",15/3/2020
Romelia Armbruster," 156,224 ",15/3/2020
Lauren Stephenson," 1,336,577 ",15/3/2020
Isiah Delaughter," 637,848 ",15/3/2020
Emerita Fralick," 665,719 ",15/3/2020
Hoyt Saner," 429,181 ",15/3/2020
Samella Dively," 99,709 ",15/3/2020
Shayla Jacobi," 531,479 ",15/3/2020
Crista Gump," 1,029,175 ",16/3/2020
Ria Lightbody," 408,644 ",16/3/2020
Leila Jansky," 1,383,617 ",16/3/2020
Loan Puryear," 1,291,337 ",16/3/2020
Victor Roselli," 161,956 ",16/3/2020
Kiley Stancill," 1,264,270 ",16/3/2020
Palma Strasser," 275,972 ",16/3/2020
Genoveva Even," 610,361 ",16/3/2020
Wendell Ginsburg," 329,964 ",16/3/2020
Kiersten Mannion," 386,535 ",16/3/2020
Krishna Shimp," 367,078 ",16/3/2020
Alayna Eisenbarth," 794,011 ",16/3/2020
Kami Storms," 667,791 ",16/3/2020
Clorinda Cayetano," 362,901 ",16/3/2020
Ayako Frick," 932,938 ",16/3/2020
Ardath Albro," 45,498 ",16/3/2020
Chastity Brugger," 1,304,420 ",16/3/2020
Leann Bowen," 254,257 ",16/3/2020
Lorie Blount," 1,286,645 ",16/3/2020
Sydney Baskerville," 350,178 ",16/3/2020
Delphine Teague," 946,405 ",16/3/2020
Roy Dejong," 568,385 ",16/3/2020
Corine Shepherd," 264,617 ",16/3/2020
Madie Nevels," 951,478 ",16/3/2020
Lorri Trevizo," 171,489 ",16/3/2020
Enda Mascorro," 870,837 ",16/3/2020
Elbert Setliff," 1,062,528 ",16/3/2020
Alayna Eisenbarth," 379,746 ",16/3/2020
Eugena Trojanowski," 227,649 ",17/3/2020
Joelle Feldman," 711,038 ",17/3/2020
Jacquie Emrich," 262,219 ",17/3/2020
Harland Greenspan," 360,556 ",17/3/2020
Sherrell Blann," 414,295 ",17/3/2020
Berry Right," 379,339 ",17/3/2020
Dorla Harbert," 9,711 ",17/3/2020
Romelia Armbruster," 1,414,677 ",17/3/2020
Agripina Matteo," 596,205 ",17/3/2020
Evelyn Bonneau," 1,459,666 ",17/3/2020
Johanna Hilbert," 977,963 ",17/3/2020
Brunilda Ehrhardt," 40,937 ",17/3/2020
Karena Paiva," 825,144 ",17/3/2020
Kami Storms," 925,350 ",17/3/2020
Delicia Symes," 1,204,662 ",17/3/2020
Dollie Seymour," 525,857 ",17/3/2020
Brendan Acton," 282,051 ",17/3/2020
Gerri Charon," 570,066 ",17/3/2020
Kendal Westerfield," 1,233,609 ",17/3/2020
Ervin Scalia," 740,291 ",17/3/2020
Denisha Ogden," 1,142,612 ",17/3/2020
Patty Minardi," 160,536 ",17/3/2020
Wilber Simmer," 405,127 ",17/3/2020
Dede Shiflett," 1,192,806 ",17/3/2020
Eleanore Schley," 426,575 ",17/3/2020
Birdie Fleischman," 494,412 ",17/3/2020
Harriett Dauenhauer," 315,051 ",17/3/2020
Celestina Dartez," 1,473,176 ",17/3/2020
Erin Mcmurtrie," 334,934 ",17/3/2020
Virgie Gibb," 713,933 ",17/3/2020
Jeanmarie Drown," 764,943 ",17/3/2020
Gregorio Carwile," 1,091,796 ",17/3/2020
Williams Leno," 1,340,871 ",17/3/2020
